age,income,months_at_company,num_products,web_visits,app_usage_hours,region,interaction_income_products,log_income,behavior_1,behavior_2,behavior_3,target_churn_binary,target_segment_multiclass,target_spend_regression,target_anomaly_binary
56,48353.45744275786,96,2,13,2.0199209180471867,South,96706.91488551573,10.786293006965106,5.343110938052927,-12.993693289387753,12.60128069970071,0,1,40777.906228192325,0
69,57462.27885958487,220,0,4,2.453852144799849,West,0.0,10.958883991676968,2.4436839541773177,-15.232970456662473,25.16902107285553,0,2,45946.287897540795,0
46,44219.25008712176,176,1,12,2.5922690617832647,West,44219.25008712176,10.696915495586538,7.019656171410253,-11.215066470030886,20.687125540468433,0,1,32300.81762025811,0
32,56306.78715871338,39,1,6,0.5283928770187978,West,56306.78715871338,10.938570360302535,4.390834417740096,-20.266258063870346,2.203419359951158,0,2,41974.68828823225,0
60,37034.13393628729,168,1,9,0.48059828821163064,North,37034.13393628729,10.519595305167536,5.4619855638677715,-6.614108947997073,16.76177197769036,0,0,24404.47233927898,0
25,47886.0812858357,42,3,12,1.6948559460567605,West,143658.2438575071,10.776580162589063,7.3562474138473535,-17.846995301714305,6.749287437867915,0,1,44204.628799791426,0
38,54748.10489912948,111,1,10,3.9504795947548677,South,54748.10489912948,10.910498033365148,6.588120341970436,-20.426504510781008,8.229585407549198,0,1,46325.57148147162,0
56,52844.91315595131,104,1,19,0.4399572068085293,East,52844.91315595131,10.87511673606905,9.946556291244262,-14.836654132047025,10.843713984792464,0,1,39583.60905861402,0
36,25918.023654214307,77,4,9,3.6219468516683757,East,103672.09461685723,10.162693899650792,5.387543145918082,-6.0787023094102395,6.770223710866808,0,0,24614.019254072544,0
40,43414.910736931575,204,1,6,1.3427532902501764,West,43414.910736931575,10.678558226450516,4.120154069184848,-12.168643937934185,16.11319584314939,0,1,30742.775256525405,0
28,75161.9439546891,8,2,10,2.0087613685466534,West,150323.8879093782,11.227400317411782,4.982232433751564,-31.10722058086702,1.869516256729475,0,2,65409.55484523368,1
28,42613.308885042235,207,2,5,0.869438676558832,North,85226.61777008447,10.65992189860785,2.683227158307517,-15.199922956270104,21.099510568531812,0,0,30019.81146074054,0
41,50237.11316167759,26,0,11,2.466488369126127,West,0.0,10.824509338537267,6.39020150090528,-16.109500458213315,2.7796604401567815,0,1,41050.53443460083,0
53,48698.663741765835,140,1,6,5.2846861821710585,West,48698.663741765835,10.7934068701268,5.319404979472502,-14.944027329877176,11.754231423271875,0,1,35671.534897278856,0
57,73523.59638379476,43,3,8,0.2805352067343338,West,220570.7891513843,11.205361672914162,3.5637172563556323,-26.04292410651506,6.616249936675526,0,2,66201.38278260494,1
41,69355.52183292006,179,3,10,0.730564588935848,North,208066.56549876017,11.147001045254155,6.945836909747734,-26.877148511665812,18.689612882496693,0,2,62792.023895613944,0
20,62112.96499728214,110,1,8,2.9757241653104525,East,62112.96499728214,11.036710022254574,7.483149357699046,-25.97084590268658,11.890731092352642,0,2,53549.78535322039,0
39,35401.36529941199,219,1,15,0.2916025285395835,West,35401.36529941199,10.474505666158148,6.018449835285882,-10.039716734194796,23.804529701386834,0,0,28019.977570452622,0
19,55387.745737881196,210,0,7,0.7990022762614023,East,0.0,10.92211365220079,4.223316586264026,-24.098421929180606,22.172633992632942,0,1,42071.56673994156,0
41,58519.126146126975,237,0,11,0.2724898610778026,North,0.0,10.977108922454677,6.84616244480257,-21.696803846601938,22.42024760193485,0,2,47911.82239907618,0
61,39520.927466059184,100,2,7,1.567756261011373,North,79041.85493211837,10.584585619857156,3.4114266803737303,-7.763432554261331,11.014548015527534,0,0,28090.545859953767,0
47,36942.24341228467,63,8,4,0.40834146890808176,West,295537.94729827734,10.517110983156718,2.7364344550295607,-10.509161681133223,6.472743921232887,0,0,34115.748516211745,0
55,75575.21220810545,49,2,8,0.7189955353534877,North,151150.4244162109,11.232883627557781,3.6075084200660505,-25.79723625590475,5.037250839447624,0,2,59469.07636535368,0
19,45487.950316746064,115,4,8,1.0133548302055546,North,181951.80126698426,10.725202741662477,3.693794188456993,-18.567195466979218,12.704032134140474,0,1,37092.59394580044,0
38,74224.65228366722,155,2,10,0.5288725959924317,East,148449.30456733445,11.21485161499542,5.034956767220683,-29.4570505157692,13.475185836352297,0,2,60695.46913165578,0
50,64956.40633241801,137,2,13,1.708687108028124,South,129912.81266483602,11.081471652067876,5.992771229851761,-22.864496910283567,8.629128720248591,0,2,59762.26099227589,0
29,56118.15173562982,167,3,9,0.17690802576506925,East,168354.45520688946,10.935214599526333,4.324729807822214,-23.04189650605275,16.02213587345979,0,2,44781.73137656498,0
39,56787.97154539227,65,3,11,3.1779069284619856,West,170363.9146361768,10.947079813716076,5.441862556248077,-20.186917219435273,3.2197158477919956,1,2,54628.85171765703,0
